username	shortname
absn139	GEN_ADN_CPP_2015-16
absn146	GEN_ADN_CPP_2015-16
absn147	GEN_ADN_CPP_2015-16
absn483	GEN_ADN_CPP_2015-16
absn898	GEN_ADN_CPP_2015-16
absz566	GEN_ADN_CPP_2015-16
abtb474	GEN_ADN_CPP_2015-16
acjx826	GEN_ADN_CPP_2015-16
acjz200	GEN_ADN_CPP_2015-16
acjz255	GEN_ADN_CPP_2015-16
acjz537	GEN_ADN_CPP_2015-16
acka884	GEN_ADN_CPP_2015-16
acka955	GEN_ADN_CPP_2015-16
acka956	GEN_ADN_CPP_2015-16
acka957	GEN_ADN_CPP_2015-16
acka959	GEN_ADN_CPP_2015-16
acka961	GEN_ADN_CPP_2015-16
acka963	GEN_ADN_CPP_2015-16
acka964	GEN_ADN_CPP_2015-16
acka965	GEN_ADN_CPP_2015-16
acka966	GEN_ADN_CPP_2015-16
acka967	GEN_ADN_CPP_2015-16
acka968	GEN_ADN_CPP_2015-16
acka969	GEN_ADN_CPP_2015-16
acka970	GEN_ADN_CPP_2015-16
acka971	GEN_ADN_CPP_2015-16
acka972	GEN_ADN_CPP_2015-16
acka973	GEN_ADN_CPP_2015-16
acka974	GEN_ADN_CPP_2015-16
acka975	GEN_ADN_CPP_2015-16
acka977	GEN_ADN_CPP_2015-16
acka978	GEN_ADN_CPP_2015-16
acka979	GEN_ADN_CPP_2015-16
acka980	GEN_ADN_CPP_2015-16
acka981	GEN_ADN_CPP_2015-16
acka982	GEN_ADN_CPP_2015-16
acka984	GEN_ADN_CPP_2015-16
acka985	GEN_ADN_CPP_2015-16
acka987	GEN_ADN_CPP_2015-16
acka988	GEN_ADN_CPP_2015-16
acka989	GEN_ADN_CPP_2015-16
acka990	GEN_ADN_CPP_2015-16
acka991	GEN_ADN_CPP_2015-16
acka992	GEN_ADN_CPP_2015-16
acka993	GEN_ADN_CPP_2015-16
acka994	GEN_ADN_CPP_2015-16
acka995	GEN_ADN_CPP_2015-16
acka996	GEN_ADN_CPP_2015-16
acka997	GEN_ADN_CPP_2015-16
acka998	GEN_ADN_CPP_2015-16
acka999	GEN_ADN_CPP_2015-16
ackb001	GEN_ADN_CPP_2015-16
ackb002	GEN_ADN_CPP_2015-16
ackb003	GEN_ADN_CPP_2015-16
ackb004	GEN_ADN_CPP_2015-16
ackb005	GEN_ADN_CPP_2015-16
ackb006	GEN_ADN_CPP_2015-16
ackb007	GEN_ADN_CPP_2015-16
ackb009	GEN_ADN_CPP_2015-16
ackb014	GEN_ADN_CPP_2015-16
ackb023	GEN_ADN_CPP_2015-16
ackb719	GEN_ADN_CPP_2015-16
ackc336	GEN_ADN_CPP_2015-16
ackf375	GEN_ADN_CPP_2015-16
acnf850	GEN_ADN_CPP_2015-16
acnf854	GEN_ADN_CPP_2015-16
acnf857	GEN_ADN_CPP_2015-16
acnf858	GEN_ADN_CPP_2015-16
acnf859	GEN_ADN_CPP_2015-16
acnf863	GEN_ADN_CPP_2015-16
acnf870	GEN_ADN_CPP_2015-16
acnf879	GEN_ADN_CPP_2015-16
acnf885	GEN_ADN_CPP_2015-16
acnf891	GEN_ADN_CPP_2015-16
acnf895	GEN_ADN_CPP_2015-16
acnf906	GEN_ADN_CPP_2015-16
acnf908	GEN_ADN_CPP_2015-16
acnf909	GEN_ADN_CPP_2015-16
acnk954	GEN_ADN_CPP_2015-16
acnk956	GEN_ADN_CPP_2015-16
acnk957	GEN_ADN_CPP_2015-16
acnk958	GEN_ADN_CPP_2015-16
acnk961	GEN_ADN_CPP_2015-16
acnk963	GEN_ADN_CPP_2015-16
acnk964	GEN_ADN_CPP_2015-16
acnk966	GEN_ADN_CPP_2015-16
acnk967	GEN_ADN_CPP_2015-16
acnk968	GEN_ADN_CPP_2015-16
acnk969	GEN_ADN_CPP_2015-16
acnk970	GEN_ADN_CPP_2015-16
acnk971	GEN_ADN_CPP_2015-16
acnk972	GEN_ADN_CPP_2015-16
acnk973	GEN_ADN_CPP_2015-16
acnk974	GEN_ADN_CPP_2015-16
acnk975	GEN_ADN_CPP_2015-16
acnk976	GEN_ADN_CPP_2015-16
acnk977	GEN_ADN_CPP_2015-16
acnk978	GEN_ADN_CPP_2015-16
acnk979	GEN_ADN_CPP_2015-16
acnk980	GEN_ADN_CPP_2015-16
acnk981	GEN_ADN_CPP_2015-16
acnk982	GEN_ADN_CPP_2015-16
acnk984	GEN_ADN_CPP_2015-16
acnk985	GEN_ADN_CPP_2015-16
acnk986	GEN_ADN_CPP_2015-16
acnk987	GEN_ADN_CPP_2015-16
acnk988	GEN_ADN_CPP_2015-16
acnk989	GEN_ADN_CPP_2015-16
acnk990	GEN_ADN_CPP_2015-16
acnk991	GEN_ADN_CPP_2015-16
acnk992	GEN_ADN_CPP_2015-16
acnk993	GEN_ADN_CPP_2015-16
acnk994	GEN_ADN_CPP_2015-16
acnk995	GEN_ADN_CPP_2015-16
acnk996	GEN_ADN_CPP_2015-16
acnk997	GEN_ADN_CPP_2015-16
acnk998	GEN_ADN_CPP_2015-16
acnk999	GEN_ADN_CPP_2015-16
acnm001	GEN_ADN_CPP_2015-16
acnm002	GEN_ADN_CPP_2015-16
acnm003	GEN_ADN_CPP_2015-16
acnm004	GEN_ADN_CPP_2015-16
acnm005	GEN_ADN_CPP_2015-16
acnm006	GEN_ADN_CPP_2015-16
acnm008	GEN_ADN_CPP_2015-16
acnm009	GEN_ADN_CPP_2015-16
acnm010	GEN_ADN_CPP_2015-16
acnn172	GEN_ADN_CPP_2015-16
acnn194	GEN_ADN_CPP_2015-16
acnn890	GEN_ADN_CPP_2015-16
abpw219	GEN_ADN_CPP_2015-16
absh560	GEN_ADN_CPP_2015-16
absh562	GEN_ADN_CPP_2015-16
absh567	GEN_ADN_CPP_2015-16
absh574	GEN_ADN_CPP_2015-16
absh581	GEN_ADN_CPP_2015-16
absh582	GEN_ADN_CPP_2015-16
absh602	GEN_ADN_CPP_2015-16
absh605	GEN_ADN_CPP_2015-16
absh610	GEN_ADN_CPP_2015-16
absh752	GEN_ADN_CPP_2015-16
absm187	GEN_ADN_CPP_2015-16
absm197	GEN_ADN_CPP_2015-16
absm205	GEN_ADN_CPP_2015-16
absn143	GEN_ADN_CPP_2015-16
absp430	GEN_ADN_CPP_2015-16
acjy754	GEN_ADN_CPP_2015-16
acka941	GEN_ADN_CPP_2015-16
acka942	GEN_ADN_CPP_2015-16
acka943	GEN_ADN_CPP_2015-16
acka944	GEN_ADN_CPP_2015-16
