username;course1;role1
acnp565;GEN_MYSEMS_2015-16;student
acng972;GEN_MYSEMS_2015-16;student
acng908;GEN_MYSEMS_2015-16;student
acnn861;GEN_MYSEMS_2015-16;student
acng968;GEN_MYSEMS_2015-16;student
acng894;GEN_MYSEMS_2015-16;student
acng998;GEN_MYSEMS_2015-16;student
acnh002;GEN_MYSEMS_2015-16;student
acnf487;GEN_MYSEMS_2015-16;student
acnf418;GEN_MYSEMS_2015-16;student
acnf975;GEN_MYSEMS_2015-16;student
acnm850;GEN_MYSEMS_2015-16;student
acnp631;GEN_MYSEMS_2015-16;student
acnn441;GEN_MYSEMS_2015-16;student
acnp645;GEN_MYSEMS_2015-16;student
acnp579;GEN_MYSEMS_2015-16;student
acnp602;GEN_MYSEMS_2015-16;student
acnp647;GEN_MYSEMS_2015-16;student
acnh244;GEN_MYSEMS_2015-16;student
acnn424;GEN_MYSEMS_2015-16;student
acnj748;GEN_MYSEMS_2015-16;student
acnk067;GEN_MYSEMS_2015-16;student
acnp388;GEN_MYSEMS_2015-16;student
EG717;GEN_MYSEMS_2015-16;student
acnn490;GEN_MYSEMS_2015-16;student
abpm742;GEN_MYSEMS_2015-16;student
absc870;GEN_MYSEMS_2015-16;student
absc859;GEN_MYSEMS_2015-16;student
absk244;GEN_MYSEMS_2015-16;student
absc949;GEN_MYSEMS_2015-16;student
absc886;GEN_MYSEMS_2015-16;student
absf522;GEN_MYSEMS_2015-16;student
absc948;GEN_MYSEMS_2015-16;student
abtj954;GEN_MYSEMS_2015-16;student
absd023;GEN_MYSEMS_2015-16;student
absc885;GEN_MYSEMS_2015-16;student
acnp053;GEN_MYSEMS_2015-16;student
acjw698;GEN_MYSEMS_2015-16;student
acjw676;GEN_MYSEMS_2015-16;student
acnh563;GEN_MYSEMS_2015-16;student
acka391;GEN_MYSEMS_2015-16;student
acjw712;GEN_MYSEMS_2015-16;student
acka759;GEN_MYSEMS_2015-16;student
ackb827;GEN_MYSEMS_2015-16;student
acjw697;GEN_MYSEMS_2015-16;student
acjx363;GEN_MYSEMS_2015-16;student
acnf528;GEN_MYSEMS_2015-16;student
ackf423;GEN_MYSEMS_2015-16;student
ackf421;GEN_MYSEMS_2015-16;student
acjv655;GEN_MYSEMS_2015-16;student
ackd451;GEN_MYSEMS_2015-16;student
acnh427;GEN_MYSEMS_2015-16;student
acnm830;GEN_MYSEMS_2015-16;student
acnh478;GEN_MYSEMS_2015-16;student
acnh483;GEN_MYSEMS_2015-16;student
acnh472;GEN_MYSEMS_2015-16;student
acnh588;GEN_MYSEMS_2015-16;student
acnh416;GEN_MYSEMS_2015-16;student
acnm249;GEN_MYSEMS_2015-16;student
acnj790;GEN_MYSEMS_2015-16;student
acnh448;GEN_MYSEMS_2015-16;student
acnm235;GEN_MYSEMS_2015-16;student
acnp056;GEN_MYSEMS_2015-16;student
acnh516;GEN_MYSEMS_2015-16;student
acnh528;GEN_MYSEMS_2015-16;student
acnm388;GEN_MYSEMS_2015-16;student
acnh457;GEN_MYSEMS_2015-16;student
acnh453;GEN_MYSEMS_2015-16;student
acnh530;GEN_MYSEMS_2015-16;student
acnh477;GEN_MYSEMS_2015-16;student
acnn981;GEN_MYSEMS_2015-16;student
acnf549;GEN_MYSEMS_2015-16;student
acnf571;GEN_MYSEMS_2015-16;student
acnm247;GEN_MYSEMS_2015-16;student
acnp608;GEN_MYSEMS_2015-16;student
acnf535;GEN_MYSEMS_2015-16;student
acnf568;GEN_MYSEMS_2015-16;student
acnf531;GEN_MYSEMS_2015-16;student
acnf542;GEN_MYSEMS_2015-16;student
acnf538;GEN_MYSEMS_2015-16;student
acnf603;GEN_MYSEMS_2015-16;student
acnj774;GEN_MYSEMS_2015-16;student
acnp417;GEN_MYSEMS_2015-16;student
acnf533;GEN_MYSEMS_2015-16;student
acnf621;GEN_MYSEMS_2015-16;student
acnf619;GEN_MYSEMS_2015-16;student
acnm664;GEN_MYSEMS_2015-16;student
acnf649;GEN_MYSEMS_2015-16;student
acnj927;GEN_MYSEMS_2015-16;student
acnf585;GEN_MYSEMS_2015-16;student
acnh410;GEN_MYSEMS_2015-16;student
acnm240;GEN_MYSEMS_2015-16;student
acng271;GEN_MYSEMS_2015-16;student
acnn244;GEN_MYSEMS_2015-16;student
acnf567;GEN_MYSEMS_2015-16;student
acnn108;GEN_MYSEMS_2015-16;student
acnj786;GEN_MYSEMS_2015-16;student
acnp568;GEN_MYSEMS_2015-16;student
acnf552;GEN_MYSEMS_2015-16;student
ackc276;GEN_MYSEMS_2015-16;student
acmm661;GEN_MYSEMS_2015-16;student
acnn980;GEN_MYSEMS_2015-16;student
acnf650;GEN_MYSEMS_2015-16;student
EG717;GEN_SOI_PHDRES;student
abfc473;GEN_SOI_PHDRES;student
abdv955;GEN_SOI_PHDRES;student
abjg651;GEN_SOI_PHDRES;student
abjb869;GEN_SOI_PHDRES;student
abjb788;GEN_SOI_PHDRES;student
abjb769;GEN_SOI_PHDRES;student
abkb836;GEN_SOI_PHDRES;student
abkf987;GEN_SOI_PHDRES;student
abfb081;GEN_SOI_PHDRES;student
abmy658;GEN_SOI_PHDRES;student
abfc148;GEN_SOI_PHDRES;student
abfc377;GEN_SOI_PHDRES;student
abny659;GEN_SOI_PHDRES;student
abfc774;GEN_SOI_PHDRES;student
abff021;GEN_SOI_PHDRES;student
abfg800;GEN_SOI_PHDRES;student
acjv984;GEN_SOI_PHDRES;student
acmn868;GEN_SOI_PHDRES;student
acnb499;GEN_SOI_PHDRES;student
acmp148;GEN_SOI_PHDRES;student
acnf693;GEN_SOI_PHDRES;student
acnf689;GEN_SOI_PHDRES;student
abdz571;GEN_SOI_PHDRES;student
acnn490;GEN_SOI_MI_PG_2015-16;student
acjx363;GEN_SOI_MI_PG_2015-16;student
acnf528;GEN_SOI_MI_PG_2015-16;student
ackf423;GEN_SOI_MI_PG_2015-16;student
ackf421;GEN_SOI_MI_PG_2015-16;student
acjv655;GEN_SOI_MI_PG_2015-16;student
acnf549;GEN_SOI_MI_PG_2015-16;student
acnf571;GEN_SOI_MI_PG_2015-16;student
acnm247;GEN_SOI_MI_PG_2015-16;student
acnp608;GEN_SOI_MI_PG_2015-16;student
acnf535;GEN_SOI_MI_PG_2015-16;student
acnf568;GEN_SOI_MI_PG_2015-16;student
acnf531;GEN_SOI_MI_PG_2015-16;student
acnf542;GEN_SOI_MI_PG_2015-16;student
acnf538;GEN_SOI_MI_PG_2015-16;student
acnf603;GEN_SOI_MI_PG_2015-16;student
acnj774;GEN_SOI_MI_PG_2015-16;student
acnp417;GEN_SOI_MI_PG_2015-16;student
acnf533;GEN_SOI_MI_PG_2015-16;student
acnf621;GEN_SOI_MI_PG_2015-16;student
acnf619;GEN_SOI_MI_PG_2015-16;student
acnm664;GEN_SOI_MI_PG_2015-16;student
acnf649;GEN_SOI_MI_PG_2015-16;student
acnf585;GEN_SOI_MI_PG_2015-16;student
acnh410;GEN_SOI_MI_PG_2015-16;student
acnm240;GEN_SOI_MI_PG_2015-16;student
acng271;GEN_SOI_MI_PG_2015-16;student
acnn244;GEN_SOI_MI_PG_2015-16;student
acnf567;GEN_SOI_MI_PG_2015-16;student
acnn108;GEN_SOI_MI_PG_2015-16;student
acnp568;GEN_SOI_MI_PG_2015-16;student
acnf552;GEN_SOI_MI_PG_2015-16;student
ackc276;GEN_SOI_MI_PG_2015-16;student
acmm661;GEN_SOI_MI_PG_2015-16;student
acnn980;GEN_SOI_MI_PG_2015-16;student
acnf650;GEN_SOI_MI_PG_2015-16;student
acnn490;GEN_SMCSE_PRC_2015-16;student
acjx363;GEN_SMCSE_PRC_2015-16;student
acnf528;GEN_SMCSE_PRC_2015-16;student
ackf423;GEN_SMCSE_PRC_2015-16;student
ackf421;GEN_SMCSE_PRC_2015-16;student
acjv655;GEN_SMCSE_PRC_2015-16;student
acnf549;GEN_SMCSE_PRC_2015-16;student
acnf571;GEN_SMCSE_PRC_2015-16;student
acnm247;GEN_SMCSE_PRC_2015-16;student
acnp608;GEN_SMCSE_PRC_2015-16;student
acnf535;GEN_SMCSE_PRC_2015-16;student
acnf568;GEN_SMCSE_PRC_2015-16;student
acnf531;GEN_SMCSE_PRC_2015-16;student
acnf542;GEN_SMCSE_PRC_2015-16;student
acnf538;GEN_SMCSE_PRC_2015-16;student
acnf603;GEN_SMCSE_PRC_2015-16;student
acnj774;GEN_SMCSE_PRC_2015-16;student
acnp417;GEN_SMCSE_PRC_2015-16;student
acnf533;GEN_SMCSE_PRC_2015-16;student
acnf621;GEN_SMCSE_PRC_2015-16;student
acnf619;GEN_SMCSE_PRC_2015-16;student
acnm664;GEN_SMCSE_PRC_2015-16;student
acnf649;GEN_SMCSE_PRC_2015-16;student
